Site Name ,MARIAHO
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,10958


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

538,10/12/2017 , 04:30:00,0,0
539,10/12/2017 , 04:45:00,0,0
540,10/12/2017 , 05:00:00,0,0
541,10/12/2017 , 05:15:00,0,0
542,10/12/2017 , 05:30:00,0,0
543,10/12/2017 , 05:45:00,0,0
544,10/12/2017 , 06:00:00,0,0
545,10/12/2017 , 06:15:00,0,0
546,10/12/2017 , 06:30:00,0,0
547,10/12/2017 , 06:45:00,0,0
548,10/12/2017 , 07:00:00,0,0
549,10/12/2017 , 07:15:00,0,0
550,10/12/2017 , 07:30:00,0,0
551,10/12/2017 , 07:45:00,0,0
552,10/12/2017 , 08:00:00,0,0
553,10/12/2017 , 08:15:00,0,0
554,10/12/2017 , 08:30:00,0,0
555,10/12/2017 , 08:45:00,0,0
556,10/12/2017 , 09:00:00,19,19
557,10/12/2017 , 09:15:00,45,45
558,10/12/2017 , 09:30:00,70,70
559,10/12/2017 , 09:45:00,129,129
560,10/12/2017 , 10:00:00,48,48
561,10/12/2017 , 10:15:00,80,80
562,10/12/2017 , 10:30:00,81,81
563,10/12/2017 , 10:45:00,41,41
564,10/12/2017 , 11:00:00,2,2
565,10/12/2017 , 11:15:00,38,38
566,10/12/2017 , 11:30:00,1,1
567,10/12/2017 , 11:45:00,0,0
568,10/12/2017 , 12:00:00,0,0
569,10/12/2017 , 12:15:00,0,0
570,10/12/2017 , 12:30:00,2,2
571,10/12/2017 , 12:45:00,0,0
572,10/12/2017 , 13:00:00,0,0
573,10/12/2017 , 13:15:00,0,0
574,10/12/2017 , 13:30:00,0,0
575,10/12/2017 , 13:45:00,0,0
576,10/12/2017 , 14:00:00,0,0
577,10/12/2017 , 14:15:00,0,0
578,10/12/2017 , 14:30:00,0,0
579,10/12/2017 , 14:45:00,0,0
580,10/12/2017 , 15:00:00,0,0
581,10/12/2017 , 15:15:00,0,0
582,10/12/2017 , 15:30:00,0,0
583,10/12/2017 , 15:45:00,0,0
584,10/12/2017 , 16:00:00,0,0
585,10/12/2017 , 16:15:00,0,0
586,10/12/2017 , 16:30:00,0,0
587,10/12/2017 , 16:45:00,0,0
588,10/12/2017 , 17:00:00,0,0
589,10/12/2017 , 17:15:00,0,0
590,10/12/2017 , 17:30:00,0,0
591,10/12/2017 , 17:45:00,0,0
592,10/12/2017 , 18:00:00,0,0
593,10/12/2017 , 18:15:00,0,0
594,10/12/2017 , 18:30:00,0,0
595,10/12/2017 , 18:45:00,0,0
596,10/12/2017 , 19:00:00,0,0
597,10/12/2017 , 19:15:00,0,0
598,10/12/2017 , 19:30:00,0,0
599,10/12/2017 , 19:45:00,0,0
600,10/12/2017 , 20:00:00,0,0
601,10/12/2017 , 20:15:00,0,0
