Site Name ,MARIAHO,,,
Site Number ,2,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,10956,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
556,10/12/17, 09:00:00,179,179
557,10/12/17, 09:15:00,177,177
558,10/12/17, 09:30:00,209,209
559,10/12/17, 09:45:00,300,300
560,10/12/17, 10:00:00,276,276
561,10/12/17, 10:15:00,338,338
562,10/12/17, 10:30:00,337,337
563,10/12/17, 10:45:00,361,361
564,10/12/17, 11:00:00,320,320
565,10/12/17, 11:15:00,350,350
566,10/12/17, 11:30:00,242,242
567,10/12/17, 11:45:00,229,229
568,10/12/17, 12:00:00,295,295
569,10/12/17, 12:15:00,302,302
570,10/12/17, 12:30:00,368,368
571,10/12/17, 12:45:00,578,578
572,10/12/17, 13:00:00,378,378
573,10/12/17, 13:15:00,464,464
574,10/12/17, 13:30:00,400,400
575,10/12/17, 13:45:00,241,241
576,10/12/17, 14:00:00,301,301
577,10/12/17, 14:15:00,409,409
578,10/12/17, 14:30:00,343,343
579,10/12/17, 14:45:00,257,257
580,10/12/17, 15:00:00,594,594
581,10/12/17, 15:15:00,268,268
582,10/12/17, 15:30:00,349,349
583,10/12/17, 15:45:00,191,191
584,10/12/17, 16:00:00,102,102
585,10/12/17, 16:15:00,124,124
586,10/12/17, 16:30:00,145,145
587,10/12/17, 16:45:00,77,77
588,10/12/17, 17:00:00,66,66
589,10/12/17, 17:15:00,54,54
590,10/12/17, 17:30:00,31,31
591,10/12/17, 17:45:00,12,12
592,10/12/17, 18:00:00,2,2
593,10/12/17, 18:15:00,0,0
594,10/12/17, 18:30:00,0,0
595,10/12/17, 18:45:00,0,0
596,10/12/17, 19:00:00,0,0
597,10/12/17, 19:15:00,0,0
598,10/12/17, 19:30:00,0,0
599,10/12/17, 19:45:00,0,0
600,10/12/17, 20:00:00,0,0
601,10/12/17, 20:15:00,0,0
602,10/12/17, 20:30:00,0,0
603,10/12/17, 20:45:00,0,0
604,10/12/17, 21:00:00,0,0
605,10/12/17, 21:15:00,0,0
606,10/12/17, 21:30:00,0,0
607,10/12/17, 21:45:00,0,0
608,10/12/17, 22:00:00,0,0
609,10/12/17, 22:15:00,0,0
610,10/12/17, 22:30:00,0,0
611,10/12/17, 22:45:00,0,0
612,10/12/17, 23:00:00,0,0
613,10/12/17, 23:15:00,0,0
614,10/12/17, 23:30:00,0,0
615,10/12/17, 23:45:00,0,0
616,10/12/17, 24:00:00,0,0
617,11/12/17, 00:15:00,0,0
618,11/12/17, 00:30:00,0,0
619,11/12/17, 00:45:00,0,0
620,11/12/17, 01:00:00,0,0
621,11/12/17, 01:15:00,0,0
622,11/12/17, 01:30:00,0,0
623,11/12/17, 01:45:00,0,0
624,11/12/17, 02:00:00,0,0
625,11/12/17, 02:15:00,0,0
626,11/12/17, 02:30:00,0,0
627,11/12/17, 02:45:00,0,0
628,11/12/17, 03:00:00,0,0
629,11/12/17, 03:15:00,0,0
630,11/12/17, 03:30:00,0,0
631,11/12/17, 03:45:00,0,0
632,11/12/17, 04:00:00,0,0
633,11/12/17, 04:15:00,0,0
634,11/12/17, 04:30:00,0,0
635,11/12/17, 04:45:00,0,0
636,11/12/17, 05:00:00,0,0
637,11/12/17, 05:15:00,0,0
638,11/12/17, 05:30:00,0,0
639,11/12/17, 05:45:00,0,0
640,11/12/17, 06:00:00,0,0
641,11/12/17, 06:15:00,0,0
642,11/12/17, 06:30:00,0,0
643,11/12/17, 06:45:00,0,0
644,11/12/17, 07:00:00,0,0
645,11/12/17, 07:15:00,9,9
646,11/12/17, 07:30:00,23,23
647,11/12/17, 07:45:00,37,37
648,11/12/17, 08:00:00,66,66
649,11/12/17, 08:15:00,65,65
650,11/12/17, 08:30:00,103,103
651,11/12/17, 08:45:00,128,128
652,11/12/17, 09:00:00,200,200
653,11/12/17, 09:15:00,256,256
654,11/12/17, 09:30:00,273,273
655,11/12/17, 09:45:00,372,372
656,11/12/17, 10:00:00,499,499
657,11/12/17, 10:15:00,600,600
658,11/12/17, 10:30:00,685,685
659,11/12/17, 10:45:00,673,673
660,11/12/17, 11:00:00,647,647
661,11/12/17, 11:15:00,322,322
662,11/12/17, 11:30:00,435,435
663,11/12/17, 11:45:00,280,280
664,11/12/17, 12:00:00,413,413
665,11/12/17, 12:15:00,751,751
666,11/12/17, 12:30:00,736,736
667,11/12/17, 12:45:00,1068,1068
668,11/12/17, 13:00:00,1174,1174
669,11/12/17, 13:15:00,960,960
670,11/12/17, 13:30:00,657,657
671,11/12/17, 13:45:00,527,527
672,11/12/17, 14:00:00,638,638
673,11/12/17, 14:15:00,730,730
674,11/12/17, 14:30:00,258,258
675,11/12/17, 14:45:00,361,361
676,11/12/17, 15:00:00,353,353
677,11/12/17, 15:15:00,492,492
678,11/12/17, 15:30:00,387,387
679,11/12/17, 15:45:00,166,166
680,11/12/17, 16:00:00,194,194
681,11/12/17, 16:15:00,144,144
682,11/12/17, 16:30:00,111,111
683,11/12/17, 16:45:00,61,61
684,11/12/17, 17:00:00,52,52
685,11/12/17, 17:15:00,45,45
686,11/12/17, 17:30:00,14,14
687,11/12/17, 17:45:00,11,11
688,11/12/17, 18:00:00,2,2
689,11/12/17, 18:15:00,0,0
690,11/12/17, 18:30:00,0,0
691,11/12/17, 18:45:00,0,0
692,11/12/17, 19:00:00,0,0
693,11/12/17, 19:15:00,0,0
694,11/12/17, 19:30:00,0,0
695,11/12/17, 19:45:00,0,0
